timestamp,steps,distance millimeters,altitude gain millimeters
2025-07-05T02:50:01Z,2,1310,0
2025-07-05T02:50:02Z,1,1250,0
2025-07-05T02:50:03Z,2,1240,0
2025-07-05T02:50:04Z,2,1240,0
2025-07-05T02:50:05Z,1,1240,0
2025-07-05T02:50:06Z,2,1240,0
2025-07-05T02:50:07Z,1,1230,0
2025-07-05T02:50:08Z,2,1230,0
2025-07-05T02:50:09Z,1,1180,0
2025-07-05T02:50:10Z,2,1180,0
2025-07-05T02:50:11Z,3,1190,0
2025-07-05T02:50:12Z,1,1190,0
2025-07-05T02:50:13Z,1,1190,0
2025-07-05T02:50:14Z,3,1250,0
2025-07-05T02:50:15Z,1,1260,0
2025-07-05T02:50:16Z,2,1260,0
2025-07-05T02:50:17Z,1,1260,0
2025-07-05T02:50:18Z,2,1260,0
2025-07-05T02:50:19Z,2,1250,0
2025-07-05T02:50:20Z,1,1260,0
2025-07-05T02:50:21Z,2,1250,0
2025-07-05T02:50:22Z,2,1260,0
2025-07-05T02:50:23Z,1,1250,0
2025-07-05T02:50:24Z,2,1250,0
2025-07-05T02:50:25Z,1,1250,0
2025-07-05T02:50:26Z,2,1250,0
2025-07-05T02:50:27Z,1,1190,0
2025-07-05T02:50:28Z,2,1200,0
2025-07-05T02:50:29Z,2,1190,0
2025-07-05T02:50:30Z,1,1180,0
2025-07-05T02:50:31Z,2,1190,0
2025-07-05T02:50:32Z,2,1200,0
2025-07-05T02:50:33Z,1,1190,0
2025-07-05T02:50:34Z,2,1200,0
2025-07-05T02:50:35Z,2,1190,0
2025-07-05T02:50:36Z,1,1200,0
2025-07-05T02:50:37Z,2,1190,0
2025-07-05T02:50:38Z,1,1200,0
2025-07-05T02:50:39Z,2,1190,0
2025-07-05T02:50:40Z,1,1190,0
2025-07-05T02:50:41Z,1,1190,0
2025-07-05T02:50:42Z,1,1110,0
2025-07-05T02:50:43Z,0,1010,0
2025-07-05T02:50:44Z,1,910,0
2025-07-05T02:50:45Z,0,750,0
2025-07-05T02:50:46Z,0,0,0
2025-07-05T02:50:47Z,1,0,0
2025-07-05T02:50:48Z,1,0,0
2025-07-05T02:50:49Z,0,0,0
2025-07-05T02:50:50Z,4,0,0
2025-07-05T02:50:51Z,2,0,0
2025-07-05T02:50:52Z,2,160,0
2025-07-05T02:50:53Z,1,290,0
2025-07-05T02:50:54Z,1,430,0
2025-07-05T02:50:55Z,2,610,0
2025-07-05T02:50:56Z,2,800,0
2025-07-05T02:50:57Z,2,880,0
2025-07-05T02:50:58Z,1,940,0
2025-07-05T02:50:59Z,1,980,0
2025-07-05T02:51:00Z,4,1090,0
2025-07-05T02:51:01Z,1,1130,0
2025-07-05T02:51:02Z,2,1220,0
2025-07-05T02:51:03Z,1,1250,0
2025-07-05T02:51:04Z,2,1310,0
2025-07-05T02:51:05Z,1,1290,0
2025-07-05T02:51:06Z,1,1290,0
2025-07-05T02:51:07Z,2,1280,0
2025-07-05T02:51:08Z,3,1290,0
2025-07-05T02:51:09Z,2,1300,0
2025-07-05T02:51:10Z,2,1340,0
2025-07-05T02:51:11Z,2,1420,0
2025-07-05T02:51:12Z,2,1420,0
2025-07-05T02:51:13Z,1,1420,0
2025-07-05T02:51:14Z,2,1420,0
2025-07-05T02:51:15Z,2,1420,0
2025-07-05T02:51:16Z,1,1420,0
2025-07-05T02:51:17Z,2,1400,0
2025-07-05T02:51:18Z,1,1410,0
2025-07-05T02:51:19Z,2,1400,0
2025-07-05T02:51:20Z,2,1390,0
2025-07-05T02:51:21Z,2,1390,0
2025-07-05T02:51:22Z,1,1380,0
2025-07-05T02:51:23Z,2,1390,0
2025-07-05T02:51:24Z,1,1370,0
2025-07-05T02:51:25Z,2,1380,0
2025-07-05T02:51:26Z,1,1280,0
2025-07-05T02:51:27Z,2,1290,0
2025-07-05T02:51:28Z,2,1280,0
2025-07-05T02:51:29Z,1,1280,0
2025-07-05T02:51:30Z,2,1270,0
2025-07-05T02:51:31Z,1,1280,0
2025-07-05T02:51:32Z,2,1270,0
2025-07-05T02:51:33Z,1,1260,0
2025-07-05T02:51:34Z,2,1270,0
2025-07-05T02:51:35Z,2,1260,0
2025-07-05T02:51:36Z,1,1260,0
2025-07-05T02:51:37Z,1,1250,0
2025-07-05T02:51:38Z,2,1250,0
2025-07-05T02:51:39Z,2,1250,0
2025-07-05T02:51:40Z,2,1250,0
2025-07-05T02:51:41Z,2,1250,0
2025-07-05T02:51:42Z,2,1300,0
2025-07-05T02:51:43Z,1,1300,0
2025-07-05T02:51:44Z,2,1310,0
2025-07-05T02:51:45Z,1,1300,0
2025-07-05T02:51:46Z,2,1300,0
2025-07-05T02:51:47Z,2,1300,0
2025-07-05T02:51:48Z,2,1290,0
2025-07-05T02:51:49Z,1,1300,0
2025-07-05T02:51:50Z,2,1300,0
2025-07-05T02:51:51Z,2,1300,0
2025-07-05T02:51:52Z,2,1290,0
2025-07-05T02:51:53Z,2,1300,0
2025-07-05T02:51:54Z,2,1340,0
2025-07-05T02:51:55Z,1,1330,0
2025-07-05T02:51:56Z,2,1340,0
2025-07-05T02:51:57Z,2,1330,0
2025-07-05T02:51:58Z,2,1340,0
2025-07-05T02:51:59Z,1,1330,0
2025-07-05T02:52:00Z,1,1330,0
2025-07-05T02:52:01Z,2,1330,0
